sentiment	numberagreed	tweetid	tweet
neutral	3	5401	Fußball & seine Rolle im südafrikanischen Nation Building - Prozess ~http  ~http
positive	3	19215	Haben uns im Festival Walk "True Grit" angeschaut. Klasse Film -- und mit sehr nettem Humor...
neutral	3	35098	F.A.Z.-Blogs "Mühsam richtet sich die Generation 40plus im digitalen Leben ein" ...~http 
negative	3	6099	Und schon kommt einem das Leben ein kleines bisschen grauer vor...
negative	3	41832	"Zuckerrübenernte auf Rekordniveau!" Wenn deine Lokalzeitung damit eröffnet ist es an der Zeit in eine Großstadt zu ziehen.
neutral	3	23207	Neu - erkunden Sie die Vulkaneifel mit unseren Pedelecs! Ein eingebauter 250KW Elektromotor unterstützt Sie... ~http 
neutral	3	30089	Verfügbar
positive	3	34411	Ich hab endlich nen Kleid für die Silberhochzeit meiner Ellies!!
neutral	3	39618	Neubau von eleganten Eigentumswohnungen mit Fahrstuhl - Top Innenstadtlage - Wohnung; 26135 Oldenburg Kaufpreis: 167… ~http
neutral	3	18403	Doppelganger Week: @user besitzt meiner Meinung nach leichte Ähnlichkeit mit ... ~http  ?! ;-)
neutral	3	8158	beim chatten erhält man häufig schnellere Antworten als bei twitter --&gt; chatten gespräch verläuft schneller
neutral	3	42282	#ISP #Domains : Preiserhöhung für #TLD .com.ph ( #Philippinen ) um 1;00 € - NEU 100;00 € für 2 Jahre - ~http 
positive	3	40750	Heute werd ich gefirmt :D
neutral	3	16792	Neue Nike 6.0 Shoes eingetroffen! U. a. ~http 
neutral	3	34223	Das Foto Konijnenberg Kenner-Angebot: Das Sony SLT-A55 Starter Set aktuell für nur € 739;00: ~http
neutral	3	45381	ich les gerade; dass eig. johnny depp und noch so eine andere das paar bei "titanic" sein sollten; sie es jedoch ablehnten ;D
neutral	3	36844	Folge dem kopf; oder so.
neutral	3	24920	anthropogen - vom Menschen gemacht - man lernet nie aus
neutral	3	27709	"ARD-Buffet"-Wandertag / Die Vorbereitungen für Sonntag sind in den letzten Zügen.Die letzten Infos für alle Teilnehmer: ~http 
neutral	3	4336	Keine Halterhaftung bei Parkgebühren: ~http
neutral	3	24093	Spieglein Spieglein an der Wand; welcher ist der beste Tweet im Land?
neutral	3	105240	Suche eine Tasche für mein Acer Iconia Tab A500 und diesen neuen Akku für das Samsung Galaxy S2?
positive	3	21245	die Dokomi war so toll &lt;3 Hoffentlich kann ich die Mädels alle bald wiedersehen (vl. nach meinen Umzug oder so)
neutral	3	39736	Man nehme 1 Kilo Nudeln multipliziere es mit 2 Litern Cola und man erhalte mein Abendessen.
neutral	3	24836	kein Twitter im Reich der Mitte ~http 
neutral	3	33720	Veranstaltung Köln: "Caipirinha Latina" - Samstag 03. Sept. im Petit Prince ~http  von Salsa bis Reggaeton
neutral	3	28297	Trend Drinks: Mit Fotos von Oliver Schwarzwald - von Arnd Heißen - Edition Styria. ~http 
neutral	3	9990	meine fam ist auch in munchen
neutral	3	2171	Weil es nicht gestellt ist. ~http 
neutral	3	17922	Diät gefällig? ~http 
positive	3	23154	Wir wünschen allen Kunden und Freunden unseres Weinguts ein gesundes und erfolgreiches neues Jahr!
neutral	3	38830	haha megan fox folgt mir
neutral	3	35171	GC: The Last Story und Pandora´s Tower kommen nach Europa: Ebenfalls von Nintendo jetzt offiziell und endgültig ... ~http 
neutral	3	11420	Die Vor und Nachteile von Social Media Marketing &gt; Facebook; Twitter  ~http 
neutral	3	39668	Ich habe ein neues Foto auf Facebook gepostet ~http 
positive	3	6522	Etwas bessere Laune: Heut Mittag gibt es Kaiserbraten mit Sauerkraut :)
neutral	3	48907	Gulp says: MS Security Essentials RTM - kostenloser AntiVirus von Microsoft - Jetzt herunterladen - ~http 
neutral	3	36402	Eignung der Windkraftnutzung / Windkarte D: ~http  // Positionspapier Windenergie e.V.: ~http 
negative	3	27174	Also E-Technik war glaub ich in Ordnung. Physik war mehr oder weniger schlecht. :( so ein Mist. Muss es wahrscheinlich nochmals schreiben :(
neutral	3	41703	Kampf um Bahnhof: Kretschmann rückt von Stuttgart-21-Gegnern ab - SPIEGEL ONLINE - ~http
neutral	3	184175	Ich verkaufe auch meinen Sony Heimkino Dolby Pro Logic Receiver mit 2 Boxen. Momentaner Stand: 10;01€ läuft heute ab ~http 
na	3	17292	Leider noch ein paar Tage nur Mobiles Internet… werde mich aber nächsten Freitag bei allen #FF´s revanchieren :-) DANKE!!
negative	3	43708	Da kommt man gestresst nach Hause und das Bett ist abgebrannt... Es gibt diese Tage da sollte man einfach zu Hause bleiben...
negative	3	3720	Wenn es eines ist; was ich nicht ausstehen kann; dann sind das Lügen.
neutral	3	26755	Wer auf dem Holzweg ist; sollte Leim dabei haben.
positive	3	27633	aber nachher ab 14 Uhr  gibts dann Frühstück und Mittagsschlaf. freu :-)
neutral	3	5240	Neue Einträge im Gästebuch ~http 
positive	3	7466	Video schneiden. ;D
neutral	3	42600	#1: Samsung EB-K1A2BEBEGSTD Akku mit Gehäuserückseite für Galaxy S II: Samsung EB-K1A2BEBEGSTD Akku... ~http  #handy
neutral	3	38531	Ich habe den Kanal von CuteBlondieYulie auf YouTube abonniert (~http ).
neutral	3	34859	reife-freche hat einen Chat er&ouml;ffnet. ~http  ~http 
neutral	3	36040	Levin+Westermann+-+Schimmelpilz+als+Zwiebelmuster ~http
negative	3	41413	Kopfschmerzen X___x - Der heutige Arbeitstags war echt anstrengend. Heut geht's früh ins Bett...
negative	3	21462	Ich hasse es; wenn ich bei Passwörtern so kreativ war; dass sie mir selber nicht mehr einfallen...
neutral	3	106719	Bing: Für 2;5 Milliarden Dollar Umsatz hat Microsoft 5 Milliarden Dollar ausgegeben. ~http  #bing #ms
neutral	3	27359	Klar; 20°C; Wind: 4 km/h SSW (20:00) #Luzern
positive	3	14367	Ein richtiger Ohrwurm :-) RT @user "Keks!!! Alter Keks! ist der mit Ohrsand?" (@helge kommt auch vor) ~http 
neutral	3	40951	#WHS News: Hat der Windows Home Server überhaupt noch eine Zukunft?: Wer sich mit dem Windo... ~http  @user #NAS
positive	3	1827	WARM! O_O Ich weiß nicht wieso; aber ich fühl mich Heute sexy!!! 8D
positive	3	32499	Frauen- #WM Meine Güte ist #Marta cool vor dem Tor. Die hat die Ruhe weg. 3:0
positive	3	369	Mein neuer Shop; ich freue mich auf Ihren Besuch ~http 
positive	3	9899	Guten Morgen Leute..gerade aufgestanden und jetzt die pizza in den Ofen schieben^^
neutral	3	71966	Alle reden von Bing. Mir fällt da erstmal vorrangig Chandler Bing aus #Friends ein... falls sich jemand daran erinnert... #Bing
neutral	3	26995	#Reisen heißt; die menschliche Existenz ins Schaukeln zu versetzen; sie andere Formen des Daseins probieren zu lassen. (Michel de Montaigne)
neutral	3	30739	lieber heute ein Samsung Galaxy S2 als irgenwann ein iPhone 5
positive	3	17085	So; die letzten beiden kleinen süßen Schlingel haben nun auch ein gutes neues Heim gefunden! Danke an alle; die eins adoptiert haben!!! :-)
na	3	23683	hmmm. immer noch krank  =/  Was ein geiler Schultag haha =D hab ein 3- in Mathe wuuuh  =p
neutral	3	152324	#WM 2010: Nike; Adidas & Co verlagern ihre Werbekampagnen ins Internet - ~http  #Marketing #PR #SocialMedia #Werbung
neutral	3	41209	Hack n Slash Cup #4: Nach Sieg gegen NaN ist DkH.HoN im Halbfinale gegen Fnatic ~http 
neutral	3	161379	NEU: 3DS ab Wintersaison für 170€; schon früher gekauft? Dann Schenkt dir Nintendo 20 Spiele in eShop (mehr info ~http )
neutral	3	28308	Rebsorten ABC - von Dagmar Ehrlich - Gräfe & Unzer. ~http
neutral	3	33820	Konzert: Am 03.06. in Frankfurt Salsa-Konzert mit "Doble Jugada" (aus Kolumbien / Kuba) im "Latin-Palace Chango" ~http 
neutral	3	124958	Ich nehme an der Samsung Galaxy S-Verlosung von @user und @user teil: ~http 
neutral	3	20733	Komme zu „Bottich“ Freitag; 1. April 2011 von 20:00 bis 23:30 . + Dumbell ~http 
neutral	3	76192	Microsoft arbeitet an Bing und Windows Live Messenger ~http 
neutral	3	16646	Durch einen Tunnel; der die Residenz des Staatschefs mit der des frz. Botschafters in der Elfenbeinküste verbindet wurde Gbagbo angegriffen.
neutral	3	42602	#1: 5 x mumbi Displayschutzfolie Samsung i9100 Galaxy S II Displayschutz CrystalClear unsichtbar Fo... ~http  #handy
positive	3	46650	#Meral ist geil Elektrisches Gefühl #Juli #XFactor
positive	3	884	i ha scho en wiehnachtsgschenkli becho... ziel: schoggi-santa uffresse *freu*
positive	3	14376	Endlich mal wieder SONNE! - Setzt die Sonnenbrille auf; Leute! 8)
neutral	3	3070	Huch; schon 12 Uhr. Wann ist denn bei euch Mittagspause?
neutral	3	5779	#Wohnen und #Einrichten in #Berlin ~http 
neutral	3	11291	Kampf um den Leser: Yahoo; Google und Bing spannen zusammen ~http 
neutral	3	11089	nacher nt fetzen und dann zurück gammeln
neutral	3	9485	Immer schön klicken! Seid ihr auch bei Dschini? Klicke gerne zurück. ~http 
neutral	3	167721	Hergeschaut! Nintendo 3DS – 3D ohne Brille ~http 
neutral	3	17569	Ein Mann hat sich Viagra verschreiben lassen und der Arzt hat ihm empfohlen; eine Stunde vor dem Verkehr die P...~http
neutral	3	36593	Talentloser Musiker? Bei @user aus gesummter Melodie 'nen ganzen Song machen. Vorhin bei Funkhaus Europa und jetzt auf ~http 
neutral	3	31114	Ich habe 3 Fotos im Album „25. Mai 2011“ auf Facebook gepostet ~http
neutral	3	28423	Rezept: Haferflocken Frühstück ~http
neutral	3	39639	Ich habe gerade einen Lauf über 9;02 km in einer Zeit von 49:08 mit Nike+ GPS beendet. #nikeplus
neutral	3	8634	Tec Watch; Neues von der #IFA ~http
neutral	3	5007	Okay; merke wenige Minuten später bei der Deutschen Bahn heißt 7min.
neutral	3	17505	Dank des großen Erfolgs des Deutsche Telekom ITV Award 08 startet Microsoft eigenen Contest (Zitat Microsoft Mediaroom User Group Summit)
negative	3	19435	Irgendwie is alles doof...
positive	3	14886	Gut gestärkt vom Mittagessen starten wir nun mit den Anträgen #kjgdk
neutral	3	29626	Gute #Körperhaltung pusht die #Ausstrahlung. Der beste Trick: SBD.
neutral	3	105257	Heute offizielles 2.3.3 Update für das Samsung Galaxy i9000 und Galaxy Tab
neutral	3	6297	"Der Tod Gottes ist eine interessante Meinung; aber sie berührt Gott nicht." (Nicolás Gómez Dávila)
neutral	3	70545	Nortel-Patente gehen an Gruppe um Microsoft und Apple - Google zieht den Kürzeren ~http 
neutral	3	33835	Villa de Leyva im Departament Boyacá: 438 Jahre Geschichte und Kulturerbe Kolumbiens. @user Fotos ~http 
negative	3	162728	Man man man wie ich diese Typen von xBox hasse!! die mit ihren xbox kinect so eine billige und dreckige sache; sony hat ja was viel besseres
neutral	3	168349	Neues Microsoft Office Zeitalter.Auch Windows soll in Zukunft nicht mehr auf dem Rechner sein sondern in der "Cloud" zur Verfügung stehen.
positive	3	18641	geil; wenn man bis 2 uhr nachts in der schule hockt und alkoholische getränke ausschenkt ... so sollte das immer sein
neutral	3	34764	Der #Ständerat hat gegen die Interessen der Reisenden entschieden ~http  #Bahnreform #SBB #ÖV
positive	3	39316	Chuck & Larry auf Sky. Der Film ist einfach gut!
negative	3	26389	Urlaub fängt mit der Erkenntnis an; dass mir jemand ne fette Beule in die Tür gefahren hat und abgehauen ist :-(
positive	3	35583	Der ist j sooo süß der kleine. :) /⁰Heute kommt mei Schatzi wieder heim. :-* /⁰Dann Tischtennis gegen Döhlau.
positive	3	6375	Einfach nur unglaublich gut! *___* (watching Neues vom Wixxer) ~http 
positive	3	9356	Ich wuensche allen schoene Weihnachten. I wish a happy chrismas.
neutral	3	20341	Das moderne Home Shopping Business. Clever shoppen von zuhause aus; mit einer gigantischen Auswahl. ~http 
neutral	3	39811	noch 4x Schlafen...~http 
neutral	3	28238	Coffee Circle: Online weltbeste Kaffees kaufen und Entwicklungsprojekte unterstützen: ~http 
negative	3	40987	Matrix ist so ein NERD-Film
neutral	3	3135	Der Winter naht mit großen Schritten… ~http  #briard
neutral	3	6789	"spielt heut nich schland gegen afghanistan" - fast! #ger #aserbaidschan
neutral	3	7773	Verwende nun Twitter zusammen mit StartXXL: ~http 
neutral	3	31973	Ich möchte einen Preis beim Geburtstagsgewinnspiel von @user gewinnen: ~http  #Caschy
negative	3	3875	Das war rot du spasst.
neutral	3	161951	Android-Superheld im Samsung Galaxy S II ROM entdeckt ~http  via @user
positive	3	4014	=) danke schön!
positive	3	21900	Yeah! bin alleine in nem fremden Haus.
neutral	3	3843	Schnee Schnee Schnee ~http
neutral	3	15932	Die Klangkammer gibt es jetzt auch im tiefen weiten Internet. Nicht nur in der gemütlichen blauen Zone. ~http 
neutral	3	39737	Ich stepe mit meinen neuen Nike Blazer Vintage. Durch die Gegend. #swag
negative	3	36776	früher waren lehrer immer diese menschen ohne privatleben. jetzt; wo ich lehrer kenne & teil ihrer privatleben bin weiß ich es: ICH BIN ALT!
negative	3	38187	ich sollte mal mit dem fressen aufhören.. echt grausig. was nur los? D:
neutral	3	39547	Sie haben noch keinen Tablet-PC? Dann sollten Sie jetzt am großen- Gewinnspiel teilnehmen! ~http 
neutral	3	29275	so ab jetzt ~http  ~http 
neutral	3	35165	Weitere Details zum Wii-Redesign in Europa: Wie das Official Nintendo Magazine aus Großbritannien berichtet; wir... ~http 
positive	3	3369	Hoffentlich gucken viele #WM; dann wird das später ein entspanntes shopping in #wiesbaden
positive	3	36701	Ein frohes neues Jahr 2011!
neutral	3	33296	Quacksalber leitet kein Fachkrankenhaus mehr ~http
neutral	3	4321	BGH erklärt Lehrerbewertung bei Spickmich.de für zulässig ~http 
negative	3	29377	In der Haribo Colo-Rado Tüte sind auch immer weniger Sachen drin; die ich mag...
neutral	3	15280	Stellte grad Wortsuchfunktion ein und tippte "Ficken". Ganzer Bildschirm wurd gelb. Was soll mir das jetzt sagen?
neutral	3	34922	Aufrecht: 2011 ist das Europäische Jahr der Freiwilligentätigkeit. In Stuttgart wird es dazu am 20. und 21. Sept... ~http 
neutral	3	16670	"Ich will das Android-Smartphone Samsung Galaxy Ace bei @user gewinnen. ~http 
neutral	3	30101	Ich habe ein YouTube-Video zu meinen Favoriten hinzugefügt. -- S-BAHN- TRAIN by Paul Kalk ~http 
neutral	3	29363	Warum wird neben dem Unilever Gebäude in der Hafencity ein Riesenrad aufgebaut???
negative	3	34308	Bad putzen : (
neutral	3	11660	Eine erstes ASCE Plugin System Vorschau Video wurde erstellt. ~http 
neutral	3	20581	Ich glaube es dauert nicht mehr so lange also weil wir alles neu amchen müsssen und haben jetzt auf page neue uptades gemacht dan bis dan bb
neutral	3	22104	Wir haben das Mammut Smart Alpine für euch getestet. Schaut es euch an: ~http
positive	3	2852	Noch ein Follower ? Dann hätte ich die 500. Wär Obbergeil :)
neutral	3	46670	Sollte Inter Mailand im Dezember auch noch den Weltpokal gewinnen; dann wird das Trikot ganz schön mit Aufnähern voll geklebt sein.
positive	3	46196	Ich bin Online. war gar nicht so einfach die ip zu finden um die Kindersicherung auszuschalten :-) Wie fettttttttt
neutral	3	35679	Konzeptionerblog: Das verflixte 7. Jahr ~http 
neutral	3	14271	duschen ~http
neutral	3	16179	Kann man die Haarfarbe im Nachhinein verändern?
neutral	3	18300	Plagiatsaffäre: Bayreuth appelliert an Guttenberg (von Heike Schmoll; Berlin) ~http
neutral	3	22903	Tipps zum Energiesparen in der aktuellen Kundenzeitung; auch Online lesen! ~http 
positive	3	39134	Ich kann schon wieder den Schreibtischgrund erkennen! :-) Gleich bin ich fertig mit aufräumen.
neutral	3	34302	EU: 42% der Europäer will nicht in den Winterurlaub fahren #Krise ~http  // Dafür bleiben die Pisten leer
neutral	3	9738	Gewinnspiel auf @user - Als Gewinne winken ein Samsung Full-HD LED 3D Fernseher und iPads! #gewinnspiel ~http 
neutral	3	30628	So würde ich es auch schreiben: ~http 
neutral	3	5445	Das Wort der #Grünen in der Bundesrepublik Deutschland hat ab heute ein neues Gewicht. #Kretschmann #Grüne
neutral	3	22530	#CDU Bergisch Gladbach sagt ihr Sommerfest auf #Facebook ab. #FB #Facebookfest
neutral	3	19253	Heute zum 1. Mal seit Versetzen der Fähranleger die Starferry genommen-da entstehen ein paar riesige neue Gebäude in der Kowloon-Skyline
neutral	3	1424	Bitte teilen!! JACK JOHNSON Karten  ~http
neutral	3	32365	trägt eigentlich noch jemand Buffalo Schuhe? ;)
neutral	3	34593	für die kalte jahreszeit der altbekannte ~http  pro vs. adidas Techfit  ~http 
neutral	3	35181	Europa: Einziges Zelda-Konzert in London angekündigt: Auf der vergangenen E3 hat Nintendo angekündigt; in jedem ... ~http 
neutral	3	13940	Magazin-Montag: Helden in der Indie ~http 
negative	3	146272	Mein Kleiner hat das Nintendo DS-Teil meines Großen ins Klo geschmissen. Sowas Bescheuertes.
neutral	3	42204	AddPublic: Vortrag "einfach einfach Netzwerken" - oder die Kunst der guten Beziehung am 07.09.2011 in ... ~http 
neutral	3	64160	"Redmond vs. Walldorf Microsoft sitzt SAP im Nacken" via Computerwoche ~http 
neutral	3	32188	Günstige Indienrundreise Goldenes Dreieck mit Kuwait Airways Flugspecial... ~http 
neutral	3	4533	Kanzlei-Hoenig-Info: Betrug durch Anwälte zulasten der Justizkasse? ~http 
neutral	3	29965	Habe mich dazu entschlossen  jetzt Spongebob Kuchen zu backen.
negative	3	10722	so... deg ticket verkauft bekommen... was sie aktuell an musik produzieren ist net mein fall &lt;_&lt;;
neutral	3	26870	Neue A:153 Waffe [W1] - ~http
neutral	3	22017	Produktionsnotizen: Am Wochenende hat Lumoon in vollständiger Besetzung alle Musiken mit Sopranistin Christiane Mikoleit geprobt.
neutral	3	10917	geht auf Manu*L´s seite und hört euch Sommer 20-10 an.. prod. von Chewo..Hamburg-Braunschweig connection..
neutral	3	122304	adidas AG: Praktikum im Bereich Retail Controlling Market Central: Die adidas AG bietet ein Praktikum im Bereich... ~http 
neutral	3	127411	Softwarereparatur Bootreparatur für HTC - Samsung usw. ~http
neutral	3	113796	Heute Nacht gehen die Gutscheincodes für die Nintendo 3DS Aktion raus. Letzte Chance sich zu registrieren. ~http 
neutral	3	33569	Unser Wetter in Mengen: ~http  #KondorAviatik #Fliegen #Sonne
positive	3	10211	freut sich aufs LaserQuest heut abend!
neutral	3	39472	HP Notebook + 2 Samsung Handys + Tasche + Maus für 0 EUR bei Quickhandy ! - ~http 
neutral	3	1724	~heute Abend Fußball Brasilien gegen Germany nu mal schauen  ZDF 20:15 :) wers nicht wissen sollte...
neutral	3	2772	Das Liederprojekt auf facebook: ~http 
neutral	3	22815	ok...weder noch.
positive	3	78	heute abend party; döngesmühle!!!  mit meiner besten!!!
positive	3	20150	hach ist das schön wenn die sonne scheint xD
neutral	3	38340	NEU: das Ruger Explorer Starter Kit. Luftgewehr im Komplettset für nur 109;95 Euro! ~http 
neutral	3	10043	spiegel online schreibt; dass obama eine fliege gefangen hat  ~http  und lässt mich ratlos zurück!
neutral	3	23901	Oh Gott ich beginne zu verstehen.
neutral	3	45950	Gibts Videos der "Überkleber" von Rinteln? solange gilt die Unschuldsvermutung ? @ #piraten fans #cdu #spd #gruene ~http 
neutral	3	35169	GC: Nintendos Software-LineUp für das restliche Jahr: Nintendo hat nun die Release-Liste aller Spiele des aktuel... ~http 
neutral	3	105268	suche ein Samsung Galaxy S i9000
neutral	3	20272	Bald geht es wieder los; am 16.April wird im kleinen Harz der Halberstädter Dom eingeweiht.
neutral	3	13165	Amerikanische Sendung zum Thema Lumixyl System-Pflege ~http 
positive	3	10841	....wie schön; keine Banane mehr; gut; dass sich manches mit einer einfachen Kündigung lösen läßt...
positive	3	40682	Danke für´s folgen @user @user @user @user @user ; Euer ~http 
negative	3	21210	verdammte Urlaubszeit und schon steigt  die Zahl der Fundtiere; der Ausgesetzten !!!
neutral	3	17457	hubschrauber über meinem haus
neutral	3	26571	pennen binz :D (es ist 04:40)
neutral	3	121383	Wer noch keinen eBook-Reader hat: Am 16.12. ab 17.00 Uhr ein Sony PRS-505 als Angebot mit eBook-Gutschein. Infos folgen hier.
negative	3	226	Mein Plattenspieler gab nach 12 jahren grad den Geist auf :( Letzter Song: Etta James - Power Play.. R.I.P.
positive	3	11828	hahahaha was ein Erlebnis im mandalay :D
neutral	3	35164	MediaCreate Software-Charts vom 21. August 2011: Das japanische Marktforschungs-Unternehmen MediaCreate hat die ... ~http
neutral	3	4709	Beim Aushandeln von Honoraren geht es nicht darum; wer im Recht ist. ~http
neutral	3	21526	FREITAG 03/09/2010  - SOMMER SCHLUSS VERKAUF..... ~http 
neutral	3	9412	Ich habe ein YouTube-Video zu meinen Favoriten hinzugefügt. -- Phil Collins - Dir gehö... ~http
neutral	3	15909	HEUTE 21.05.2010 Jam Session mit Textil-Festival; Start 21:00 Uhr; Eintritt 2€; see more @ ~http 
positive	3	41263	ASP war sehr sehr sehr geil! Within Temptation geniesse ich aus der ferne; Beste Freundin lieber mittendrin. #meraluna
neutral	3	32685	#OBI in #Lehrte geht in Stellung und mischt sich in die Debatte ein. Zeitung lesen.
neutral	3	43792	Installationen Bochel ab sofort online!  ~http 
neutral	3	18477	Hallo liebe Nadine Bla; die von Dir abgebildete Blume ist nicht die aus der Aktion mit dem Code: GRATIS-BLUME (ab... ~http 
neutral	3	14133	Heute: Patchday - Microsoft veröffentlicht 17 Bulletins ~http  via @user + CyanogenMod 7 installieren.
neutral	3	14576	Sind Multimillionäre; Playboys und Filmstars glückliche Menschen? Oder sind es die "Armen" mit weniger Geld in anderen Erdteilen?
positive	3	30490	Wünsche allen die es lesen möchten einen wunderschönen Abend; bei dem Wetter keine Kunst.
neutral	3	4484	Kann ein GPL-Verstoss geheilt werden?: Über Golem.de wurde ich auf einen Beitrag von Naughton aufmerksam; der in... ~http 
na	3	38479	iich liiebe iihn *-* ._. iist heute übelst kopfgefiickt &gt;.&lt; iich hab Kopfschmerzen wie Sau &gt;.&lt;
negative	3	3056	bah. volvic ist ekelig.
positive	3	7930	lol das mit dem #Dschungelcamp ist einfach nur belustigend haha xD
negative	3	46691	Frauenfußball ist soooooooooo schlecht
neutral	3	32618	Sind's denn hier StudiVZler dabei! Dann schaut's doch ei'mal nach die Gruppe Kommissar Hjuler !
neutral	3	25893	wer hier Angst hat hat schon verloren..~http 
neutral	3	32245	MiMi; unser neuer Online-Aktionsshop; hat wieder geöffnet. Heute gibt's günstige Tickets für die nächste Premiere! ~http 
neutral	3	106762	Infografik: Skype – von der Idee bis zur Übernahme durch Microsoft ~http 
neutral	3	33658	Veranstaltung: Heute; 07.09. in Köln "A Lo Latino Special" im Petit Prince mit DJ Eddy & clm ~http  #Salsa #Merengue
neutral	3	31789	Vielleicht sollte ich doch mal Bing eine Chance geben
neutral	3	26000	so ne #Twitter - #Googleplus schnittstelle fehlt aber noch; oder?
neutral	3	28408	Neuer Online-Lieferservice Lieferheld sorgt für kräftig Wirbel ~http 
negative	3	39927	scheiss Wetterumschwung! gnaaahhhh &€kjsbrfbowfoinwrfverksd
neutral	3	24835	ein Fall für den Soziologen #Klo-Grafitti @user
neutral	3	29119	Kurzer Draht zum Kunden in der #WeltamSonntag! #SocialMedia
negative	3	39110	Na Toll! Jetzt ist mir das ganze noch auf den Kreislauf geschlagen. Damit lieg ich für heute Flach :-(
neutral	3	35418	Nur füttern; nicht streichenl bitte! @user @user @user @user @user Twitterzooten #ff
neutral	3	24432	‘Occurro!’ kehrt in den App Store zurück; Komplett kostenlos ~http 
negative	3	39755	Alter wie ich einfach mal so kein Bock mehr hab.
neutral	3	11868	Bildergalerie: Wir hatten ja schon bemerkt; am Sonntag war hier im Wichtelwald viel los. Einer der freundlichen.. ~http
neutral	3	38515	2:15 streiten die sich um die Flasche xDD(YouTube ~http )
neutral	3	39412	Foto von Kai Pflaume bei Microsoft im Digitalen Klassenzimmer. #CeBIT #CeBIT10 ~http  ~http 
neutral	3	47065	Die Trainingszeiten bis zu den Sommerferien sind nun auf der Homepage aktualisiert. ~http 
negative	3	35291	wenn sarah knappik im tv über paris hilton urteilt; stimmt was nicht am sonntagmorgen.
neutral	3	46304	Tagesstatistik: 214 neue Beiträge; 12 neue Themen; 9 neue Galeriebilder! Verpasst? ~http 
neutral	3	125791	:D RT @user Aufgeflogen! Samsung kopierte das iPad schon im Jahre 2006 ~http 
positive	3	5211	VIA @user Weil unser Herz Liebe kennt ♥ sehr schön!
positive	3	26134	Es gibt da ein supi geiles Forum &gt;_&lt; ~http  der Manga ist auch geil *-* das müsst ihr euch ansehen &gt;_&lt; supi game ^^
negative	3	38836	Mir gehts immer noch beschissen|heftige Halsschmerzen -.-''
neutral	3	870	News am Nachmittag - Teilweise voll gesperrt: Otto-Brenner / Stadtwerke / Polizei sucht BetrügerInnen / Country-Cody 3. #bielefeld #kanal21
negative	3	6927	Fenster zu es zieht!Nein;Fenster zu es stinkt wieder gewaltig im Hinterhof!Was so ein Imbiss so alles ungestraft darf!Frische Luft bitte!!!
neutral	3	105270	Suche: Samsung Galaxy Tab  Verkaufe: Motorola Defy   Hat jemand was?!
negative	3	43051	doofes wetter zum bremsen machen...
neutral	3	20898	Zurück aus München; am WE Umzug Teil III
neutral	3	43050	gerade vom Strand zurück gekommen
neutral	3	31576	Noch Plätze frei! Ferien-Workshop "Die #Technik des #Linolschnitts" für Kinder ab 8 Jahren schnell bis 26.8. anmelden! ~http 
neutral	3	157700	Neue Produkte von Samsung im Kommen! Teil 2 ~http 
neutral	3	331	#Erfolg mal anders definiert   ~http 
neutral	3	43342	Ich habe ein YouTube-Video zu meinen Favoriten hinzugefügt. -- Trailer towing fail ~http 
neutral	3	29562	Das braucht Ihr aber nicht gleich zu können: ~http  #Bosu #Balance #Performance
positive	3	25589	Geschafft! ... Knuddelesel.de auf Jomsocial 2.2.1 geupdatet ... läuft noch nicht alles rund; aber wird ja hoffentlich
positive	3	22911	Wir sind dabei; Wormser Pfingstmarkt! Wir freuen uns auf interessante Gespräche! Halle 5/512 vom 22. bis 30. Mai 2010 ~http 
neutral	3	11551	braucht dringen neue schuhe; ein kleid; ein haarreif; neues piercing; neue oberteile ...♥
neutral	3	39298	Änderung in den Hartz IV Regelsätzen? Gericht verhandelt am 19.10.09! Alle Infos Heute 16.10. Im Familienbüro Katharinenstr. 23
neutral	3	22659	Ich habe den Kanal von CommanderKrieger auf YouTube abonniert (~http ).
neutral	3	35812	Punkteniveau auf Regio Süd deutlich unter BaWü; Gutenberg- und SK-Cup; 9 Clubs im Wettbewerb; 17 Redner-Saisondebüts #VDCHregios
neutral	3	32848	3 Grundbe-Dürfnisse jedes Menschen: • Selbst-Wirksamkeit: Effektivität + Effizienz (was + wie)
positive	3	20833	Juuhuu.. "Schutzengel" von Paulo Coelho gewonnen..das ist doch mal eine gute Nachricht heute...
neutral	3	3513	Das ist ja wie bei der "Sendung mit der Maus". #Welterklärung #WwM
positive	3	42960	Harry Potter und die Heiligtümer des Todes T.2 am Dienstag war echt klasse. Und dann nächste Woche nochmal in 3d und demnächst 24h HP! :3
negative	3	95341	Handy vollkommen kaputt -_- Sony Ericsson sucks -_-" Kann ich echt nicht empfehlen! Morgen nach 'nem neuen Ausschau halten *seufz* #Xperia
neutral	3	29331	Warum macht Microsoft auf WinXP Systemen Werbung für den IE9?
neutral	3	43133	News des Tages: AIDA baut weiter - diesmal in Japan. In 2016 wird die Flotte mehr als 25.000 Betten umfassen! ~http 
neutral	3	46553	Bohnen-Tomaten-Gemüse ~http 
neutral	3	43093	Damals war es das 2. zuhause...
neutral	3	33607	Kolumbianisches Verfassungsgericht stärkt Rechte der Indigenen auf ihre Kultur und ihr Territorium (pdf; ~http  (cont) ~http
negative	3	46639	Ich mag #Anthony nicht @user
negative	3	46098	heute voll abgekackt zum kotzen ey geht gar nicht
negative	3	3169	Ich möchte Menschen verfluchen können!!
